time,open,high,low,close,Candle high,Candle low,TBbox,BBbox,test BaseLine,test BaseLine,test_ema,Go Long,Go Short,Exit Long,Exit Short,Volume,Volume MA
1668195000,12102.25,12102.25,12102.25,12102.25,12000,12000,11900,11200,11755.641666666663,11755.641666666668,11811.66492898823,0,0,0,0,1,1.3
1668441600,12005.5,12005.5,12005.5,12005.5,12000,12000,11900,11200,11853.283333333331,11853.283333333335,11850.431943190584,0,0,0,0,1,1.3
1668456900,12069.25,12069.5,12069.25,12069.5,12000,12000,11900,11200,11926.574999999997,11926.566666666668,11894.245554552468,0,0,0,0,4,1.45
1668457200,12069.5,12069.5,12069.5,12069.5,12069.5,12069.25,12102.25,12000,11976.466666666662,11976.450000000003,11929.296443641975,0,0,0,0,1,1.45
1668513600,12099,12099,12099,12099,12069.5,12069.25,12102.25,12000,12014.258333333331,12014.233333333335,11963.23715491358,0,0,0,0,1,1.4
1668515100,12150,12150,12150,12150,12069.5,12069.25,12102.25,12000,12038.641666666663,12038.608333333335,12000.589723930865,0,0,0,0,1,1.35
1668519000,12183.75,12210,12183.75,12210,12069.5,12069.25,12102.25,12000,12059.766666666663,12058.85,12042.471779144693,0,0,0,0,2,1.35
1668522300,12275.75,12275.75,12275.75,12275.75,12069.5,12069.25,12102.25,12000,12084.249999999998,12082.458333333334,12089.127423315755,1,0,0,0,3,1.45
1668539700,12129,12129,12129,12129,12275.75,12275.75,12102.25,12000,12108.399999999996,12105.741666666669,12097.101938652604,0,0,1,0,1,1.45
1668587700,12178.25,12178.25,12178.25,12178.25,12275.75,12275.75,12102.25,12000,12131.60833333333,12128.083333333334,12113.331550922083,0,0,0,0,1,1.4
1668609300,12039.75,12039.75,12039.75,12039.75,12275.75,12275.75,12275.75,12039.75,12147.841666666662,12147.841666666665,12098.615240737667,0,1,0,0,3,1.5
1668627600,12000,12000,12000,12000,12275.75,12275.75,12275.75,12039.75,12155.48333333333,12155.48333333333,12078.892192590134,0,0,0,0,1,1.5
1668632400,11998.5,11998.5,11998.5,11998.5,12275.75,12275.75,12275.75,12039.75,12147.066666666664,12147.066666666664,12062.813754072107,0,0,0,0,1,1.5
1668632700,11998.5,11998.5,11998.5,11998.5,12039.75,12039.75,12275.75,12039.75,12127.424999999996,12127.424999999996,12049.951003257685,0,0,0,0,1,1.5
1668633000,12010.5,12010.5,12010.5,12010.5,12039.75,12039.75,12275.75,12039.75,12100.208333333328,12100.208333333328,12042.060802606149,0,0,0,0,1,1.5
1668690300,11845,11845,11845,11845,12000,12000,12275.75,12039.75,12063.85833333333,12063.85833333333,12002.64864208492,0,0,0,0,1,1.5
1668695400,11785.25,11785.25,11785.25,11785.25,12000,12000,12275.75,12039.75,12024.024999999996,12024.024999999996,11959.168913667936,0,0,0,0,1,1.5
1668731400,11938,11938,11938,11938,11998.5,11998.5,12275.75,12039.75,11989.174999999996,11989.174999999997,11954.93513093435,0,0,0,0,1,1.5
1669051800,11791,11791,11791,11791,11998.5,11998.5,12275.75,12039.75,11956.649999999996,11956.649999999996,11922.148104747479,0,0,0,0,1,1.5
1669100400,11805,11805,11805,11805,12010.5,12010.5,12275.75,12039.75,11921.624999999995,11921.624999999995,11898.718483797984,0,0,0,0,1,1.4
1669160100,12011.5,12011.5,12011.5,12011.5,11845,11845,12275.75,12039.75,11897.741666666661,11897.741666666667,11921.274787038386,0,0,0,0,1,1.4
1669197300,12021,12021,12021,12021,11785.25,11785.25,12275.75,12039.75,11888.208333333328,11888.208333333334,11941.219829630709,0,0,0,0,1,1.4
1669220100,12139.75,12139.75,12139.75,12139.75,11938,11938,12275.75,12039.75,11892.558333333329,11892.558333333334,11980.925863704568,0,0,0,1,1,1.25
